"","feature","frequency","rank","docfreq","group"
"136","locaux",94,132,78,"all"
"137","choix",93,137,74,"all"
"138","l'état",93,137,58,"all"
"139","rapport",93,137,77,"all"
"140","mettre",92,140,89,"all"
"141","s'est",92,140,81,"all"
"142","propose",90,142,84,"all"
"143","problèmes",90,142,70,"all"
"144","française",89,144,75,"all"
"145","sociales",89,144,64,"all"
"146","quelques",88,146,72,"all"
"147","nouveau",88,146,73,"all"
"148","décision",88,146,70,"all"
"149","selon",88,146,80,"all"
"150","logique",87,150,68,"all"
"151","également",87,150,80,"all"
"152","certaines",87,150,80,"all"
"153","crise",87,150,59,"all"
"154","administrations",86,154,65,"all"
"155","projets",86,154,62,"all"
"156","enjeux",86,154,78,"all"
"157","peu",85,157,75,"all"
"158","territoriales",85,157,61,"all"
"159","sous",85,157,76,"all"
"160","communication",84,160,56,"all"
"161","l'évolution",84,160,71,"all"
"162","situation",83,162,69,"all"
"163","plan",83,162,67,"all"
"164","fois",83,162,77,"all"
"165","mode",83,162,65,"all"
"166","d'autres",82,166,77,"all"
"167","rapports",82,166,65,"all"
"168","cours",82,166,72,"all"
"169","européenne",82,166,48,"all"
"170","l'étude",81,170,72,"all"
"171","différentes",81,170,67,"all"
"172","type",81,170,71,"all"
"173","projet",81,170,51,"all"
"174","outils",80,174,63,"all"
"175","perspective",80,174,70,"all"
"176","mis",80,174,77,"all"
"177","l'organisation",80,174,66,"all"
"178","manière",80,174,74,"all"
"179","pratique",79,179,62,"all"
"180","dépenses",79,179,54,"all"
"181","établissements",79,179,50,"all"
"182","locale",79,179,58,"all"
"183","sociaux",79,179,57,"all"
"184","agents",78,184,53,"all"
"185","concurrence",78,184,50,"all"
"186","formation",78,184,42,"all"
"187","problème",77,187,65,"all"
"188","économiques",77,187,65,"all"
"189","évidence",77,187,73,"all"
"190","enfin",76,190,76,"all"
"191","présente",76,190,70,"all"
"192","conduit",76,190,70,"all"
"193","celle",76,190,66,"all"
"194","lieu",76,190,59,"all"
"195","cependant",75,195,70,"all"
"196","changements",75,195,61,"all"
"197","coûts",74,197,52,"all"
"198","financement",74,197,48,"all"
"199","grande",74,197,67,"all"
"200","règles",74,197,55,"all"
"201","formes",74,197,58,"all"
"202","modalités",74,197,64,"all"
"203","fonctionnement",73,203,65,"all"
"204","doit",73,203,62,"all"
"205","moyens",73,203,64,"all"
"206","instruments",73,203,55,"all"
"207","l'objet",73,203,67,"all"
"208","celui",73,203,59,"all"
"209","après",73,203,70,"all"
"210","relation",72,210,57,"all"
"211","conception",72,210,59,"all"
"212","plusieurs",72,210,62,"all"
"213","évaluation",71,213,61,"all"
"214","premier",71,213,69,"all"
"215","largement",70,215,67,"all"
"216","approche",70,215,62,"all"
"217","difficultés",70,215,65,"all"
"218","forme",70,215,62,"all"
"219","techniques",69,219,58,"all"
"220","l'on",69,219,64,"all"
"221","décentralisation",69,219,56,"all"
"222","ans",69,219,60,"all"
"223","d'autre_part",69,219,66,"all"
"224","méthodes",68,224,64,"all"
"225","communes",68,224,42,"all"
"226","facteurs",68,224,58,"all"
"227","prise",68,224,60,"all"
"228","dispositifs",68,224,52,"all"
"229","principes",67,229,52,"all"
"230","encore",67,229,62,"all"
"231","semble",67,229,64,"all"
"232","programmes",67,229,39,"all"
"233","culture",66,233,46,"all"
"234","activités",66,233,50,"all"
"235","qu'elle",66,233,54,"all"
"236","champ",66,233,62,"all"
"237","général",66,233,57,"all"
"238","usagers",66,233,47,"all"
"239","mieux",65,239,59,"all"
"240","loi",65,239,41,"all"
"241","financière",65,239,47,"all"
"242","construction",65,239,54,"all"
"243","questions",65,239,58,"all"
"244","production",65,239,54,"all"
"245","met",64,245,62,"all"
"246","autour",64,245,55,"all"
"247","montrer",64,245,60,"all"
"248","certains",64,245,59,"all"
"249","qu'ils",64,245,51,"all"
"250","ensuite",64,245,57,"all"
"251","dernières",64,245,61,"all"
"252","l'émergence",64,245,57,"all"
"253","dynamique",64,245,54,"all"
"254","juridique",63,254,38,"all"
"255","définition",63,254,48,"all"
"256","niveaux",63,254,50,"all"
"257","base",63,254,53,"all"
"258","pouvoirs",63,254,53,"all"
"259","quatre",62,259,55,"all"
"260","légitimité",62,259,46,"all"
"261","apparaît",62,259,58,"all"
"262","auprès",62,259,53,"all"
"263","contraintes",62,259,55,"all"
"264","d'abord",62,259,60,"all"
"265","première",61,265,59,"all"
"266","élus",61,265,49,"all"
"267","afin",61,265,58,"all"
"268","savoir",61,265,52,"all"
"269","dispositif",61,265,41,"all"
"270","demande",60,270,47,"all"
"271","procédures",60,270,46,"all"
"272","stratégique",60,270,50,"all"
"273","administrative",60,270,39,"all"
"274","tous",60,270,53,"all"
"275","l'économie",59,275,47,"all"
"276","réflexion",59,275,54,"all"
"277","puis",59,275,57,"all"
"278","structures",59,275,47,"all"
"279","pilotage",59,275,43,"all"
"280","universités",59,275,32,"all"
"281","stratégie",58,281,45,"all"
"282","contrats",58,281,33,"all"
"283","l'entreprise",58,281,28,"all"
"284","décisions",58,281,44,"all"
"285","mesures",58,281,47,"all"
"286","ministère",58,281,42,"all"
"287","fonctionnaires",58,281,39,"all"
"288","françaises",58,281,47,"all"
"289","national",58,281,51,"all"
"290","ville",58,281,34,"all"
"291","risques",58,281,37,"all"
"292","études",57,292,41,"all"
"293","villes",57,292,37,"all"
"294","territoire",57,292,44,"all"
"295","programme",57,292,36,"all"
"296","outil",57,292,45,"all"
"297","transformations",57,292,50,"all"
"298","nationale",56,298,42,"all"
"299","nationales",56,298,44,"all"
"300","chaque",56,298,45,"all"
"301","constitue",56,298,53,"all"
"302","l'ensemble",56,298,52,"all"
"303","budgétaire",56,298,41,"all"
"304","l'efficacité",55,304,48,"all"
"305","double",55,304,49,"all"
"306","autant",55,304,51,"all"
"307","théorie",55,304,36,"all"
"308","termes",55,304,47,"all"
"309","données",55,304,44,"all"
"310","travaux",55,304,39,"all"
"311","capacité",55,304,44,"all"
"312","s'agit",55,304,50,"all"
"313","d'analyse",54,313,45,"all"
"314","personnel",54,313,38,"all"
"315","budgétaires",54,313,40,"all"
"316","coordination",54,313,32,"all"
"317","cadres",54,313,38,"all"
"318","logiques",53,318,34,"all"
"319","organisation",53,318,49,"all"
"320","limites",53,318,49,"all"
"321","finances",53,318,41,"all"
"322","marchés",53,318,31,"all"
"323","création",52,323,48,"all"
"324","responsables",52,323,40,"all"
"325","planification",52,323,25,"all"
"326","pourtant",52,323,51,"all"
"327","recours",52,323,43,"all"
"328","comportements",52,323,42,"all"
"329","contribution",52,323,50,"all"
"330","nécessaire",52,323,48,"all"
"331","comprendre",52,323,48,"all"
"332","territoriale",52,323,38,"all"
"333","sécurité",52,323,23,"all"
"334","mécanismes",52,323,41,"all"
"335","évolutions",52,323,45,"all"
"336","commission",52,323,33,"all"
"337","coût",51,337,29,"all"
"338","terme",51,337,49,"all"
"339","possible",51,337,44,"all"
"340","débat",51,337,42,"all"
"341","technique",51,337,42,"all"
"342","plutôt",51,337,49,"all"
"343","avoir",51,337,51,"all"
"344","l'exemple",51,337,50,"all"
"345","conseil",51,337,32,"all"
"346","européen",51,337,38,"all"
"347","compétences",50,347,42,"all"
"348","l'expérience",50,347,46,"all"
"349","transport",50,347,22,"all"
"350","l'intérêt",50,347,45,"all"
"351","central",50,347,37,"all"
"352","soins",50,347,24,"all"
"353","conséquences",50,347,44,"all"
"354","modèles",49,354,39,"all"
"355","caractéristiques",49,354,45,"all"
"356","surtout",49,354,45,"all"
"357","générale",49,354,44,"all"
"358","méthode",49,354,33,"all"
"359","etats",49,354,37,"all"
"360","coopération",49,354,32,"all"
"361","réseaux",49,354,35,"all"
"362","intérêts",49,354,44,"all"
"363","the",49,354,8,"all"
"364","doivent",48,364,42,"all"
"365","sens",48,364,39,"all"
"366","institutions",48,364,37,"all"
"367","l'élaboration",48,364,40,"all"
"368","éléments",48,364,45,"all"
"369","of",48,364,9,"all"
"370","particulièrement",47,370,47,"all"
"371","centre",47,370,40,"all"
"372","vise",47,370,43,"all"
"373","large",47,370,43,"all"
"374","caractère",47,370,47,"all"
"375","font",47,370,46,"all"
"376","structure",47,370,43,"all"
"377","principe",47,370,37,"all"
"378","action",47,370,43,"all"
"379","d'être",46,379,41,"all"
"380","nombreuses",46,379,44,"all"
"381","communauté",46,379,31,"all"
"382","permis",46,379,41,"all"
"383","autres",46,379,42,"all"
"384","discours",46,379,31,"all"
"385","notion",46,379,36,"all"
"386","reste",46,379,40,"all"
"387","lois",46,379,40,"all"
"388","actions",46,379,43,"all"
"389","grandes",45,389,37,"all"
"390","raisons",45,389,40,"all"
"391","objectif",45,389,42,"all"
"392","multiples",45,389,43,"all"
"393","l'autre",45,389,42,"all"
"394","régions",45,389,31,"all"
"395","désormais",45,389,44,"all"
"396","transformation",45,389,35,"all"
"397","client",45,389,21,"all"
"398","communautaire",45,389,23,"all"
"399","privatisation",45,389,22,"all"
"400","l'union_européenne",45,389,30,"all"
"401","point_vue",45,389,37,"all"
"402","scientifique",44,402,26,"all"
"403","parfois",44,402,40,"all"
"404","instrument",44,402,36,"all"
"405","groupes",44,402,31,"all"
"406","développer",44,402,39,"all"
"407","hospitalier",44,402,25,"all"
"408","telle",44,402,41,"all"
"409","avant",44,402,43,"all"
"410","d'acteurs",44,402,37,"all"
"411","administratif",43,411,31,"all"
"412","l'utilisation",43,411,35,"all"
"413","financiers",43,411,35,"all"
"414","participation",43,411,33,"all"
"415","d'intervention",43,411,39,"all"
"416","critères",43,411,33,"all"
"417","permettant",43,411,40,"all"
"418","conduite",43,411,39,"all"
"419","toutefois",43,411,42,"all"
"420","l'impact",43,411,38,"all"
"421","direction",43,411,37,"all"
"422","toutes",43,411,40,"all"
"423","administration",43,411,38,"all"
"424","volonté",43,411,39,"all"
"425","terrain",43,411,40,"all"
"426","privés",43,411,39,"all"
"427","managériale",43,411,33,"all"
"428","réseau",43,411,28,"all"
"429","partenariat",43,411,29,"all"
"430","charge",42,430,37,"all"
"431","succès",42,430,35,"all"
"432","qu'une",42,430,40,"all"
"433","pose",42,430,42,"all"
"434","menée",42,430,40,"all"
"435","l'environnement",42,430,31,"all"
"436","nécessité",42,430,39,"all"
"437","dimension",42,430,38,"all"
"438","institutionnelle",42,430,33,"all"
"439","européens",42,430,29,"all"
"440","ressources_humaines",42,430,26,"all"
"441","valeur",41,441,31,"all"
"442","l'activité",41,441,31,"all"
"443","normes",41,441,33,"all"
"444","l'innovation",41,441,25,"all"
"445","dimensions",41,441,35,"all"
"446","constituent",41,441,41,"all"
"447","types",41,441,34,"all"
"448","n'a",41,441,37,"all"
"449","risque",41,441,30,"all"
"450","grands",40,450,30,"all"
"451","trop",40,450,37,"all"
"452","spécifique",40,450,39,"all"
"453","d'organisation",40,450,33,"all"
"454","généralement",40,450,35,"all"
"455","au-delà",40,450,40,"all"
"456","organisationnelle",40,450,27,"all"
"457","britannique",40,450,22,"all"
"458","quant",40,450,35,"all"
"459","rationalisation",40,450,35,"all"
"460","missions",40,450,32,"all"
"461","théorique",39,461,33,"all"
"462","propre",39,461,38,"all"
"463","l'intervention",39,461,37,"all"
"464","fonctions",39,461,34,"all"
"465","visant",39,461,37,"all"
"466","toujours",39,461,36,"all"
"467","nombreux",39,461,37,"all"
"468","besoins",39,461,31,"all"
"469","justice",39,461,27,"all"
"470","tutelle",39,461,24,"all"
"471","membres",39,461,35,"all"
"472","seulement",39,461,38,"all"
"473","maîtrise",39,461,33,"all"
"474","interne",39,461,35,"all"
"475","concept",38,475,33,"all"
"476","ceux",38,475,36,"all"
"477","privées",38,475,33,"all"
"478","stratégiques",38,475,32,"all"
"479","l'introduction",38,475,33,"all"
"480","bilan",38,475,33,"all"
"481","jeu",38,475,35,"all"
"482","mouvement",38,475,34,"all"
"483","réponse",38,475,36,"all"
"484","malgré",38,475,38,"all"
"485","siècle",38,475,25,"all"
"486","beaucoup",38,475,32,"all"
"487","rendre",38,475,37,"all"
"488","repose",38,475,36,"all"
"489","essentiellement",38,475,37,"all"
"490","europe",38,475,36,"all"
"491","professionnelle",38,475,27,"all"
"492","monde",37,492,30,"all"
"493","fin",37,492,32,"all"
"494","associations",37,492,21,"all"
"495","évolution",37,492,33,"all"
"496","produit",37,492,32,"all"
"497","société",37,492,33,"all"
"498","or",37,492,37,"all"
"499","début",37,492,35,"all"
"500","rationalité",37,492,23,"all"
"501","problématique",37,492,36,"all"
"502","domaines",37,492,36,"all"
"503","organisationnel",37,492,28,"all"
"504","comparaison",37,492,30,"all"
"505","région",37,492,27,"all"
"506","autorités",37,492,28,"all"
"507","collectifs",37,492,20,"all"
"508","valeurs",37,492,30,"all"
"509","suisse",37,492,21,"all"
"510","l'hôpital",37,492,17,"all"
"511","comptable",37,492,21,"all"
"512","deuxième",36,512,33,"all"
"513","internationale",36,512,28,"all"
"514","nombre",36,512,33,"all"
"515","période",36,512,32,"all"
"516","recherches",36,512,27,"all"
"517","environnement",36,512,33,"all"
"518","ni",36,512,20,"all"
"519","l'information",36,512,29,"all"
"520","concerne",36,512,31,"all"
"521","démarches",36,512,24,"all"
"522","second",36,512,34,"all"
"523","réalité",36,512,33,"all"
"524","budget",36,512,26,"all"
"525","montrent",36,512,36,"all"
"526","universitaire",36,512,26,"all"
"527","important",35,527,32,"all"
"528","davantage",35,527,34,"all"
"529","internes",35,527,32,"all"
"530","vie",35,527,23,"all"
"531","organismes",35,527,27,"all"
"532","permettent",35,527,33,"all"
"533","prendre",35,527,32,"all"
"534","contenu",35,527,33,"all"
"535","diverses",35,527,30,"all"
"536","réduction",35,527,27,"all"
"537","commun",35,527,32,"all"
"538","milieu",35,527,33,"all"
"539","statut",35,527,30,"all"
"540","objet",35,527,33,"all"
"541","l'offre",35,527,30,"all"
"542","indicateurs",35,527,23,"all"
"543","etc",35,527,29,"all"
"544","analyses",35,527,28,"all"
"545","répondre",35,527,33,"all"
"546","nationaux",35,527,28,"all"
"547","toute",35,527,32,"all"
"548","laquelle",35,527,33,"all"
"549","prix",35,527,23,"all"
"550","innovations",35,527,22,"all"
"551","l'objectif",35,527,35,"all"
"552","comptables",35,527,22,"all"
"553","diffusion",35,527,32,"all"
"554","l'usager",35,527,23,"all"
"555","secteurs",34,555,31,"all"
"556","raison",34,555,31,"all"
"557","état",34,555,28,"all"
"558","ensemble",34,555,31,"all"
"559","mises",34,555,30,"all"
"560","administratives",34,555,26,"all"
"561","difficile",34,555,32,"all"
"562","principaux",34,555,33,"all"
"563","regard",34,555,31,"all"
"564","côté",34,555,28,"all"
"565","institutionnel",34,555,30,"all"
"566","gestionnaires",34,555,27,"all"
"567","certain_nombre",34,555,34,"all"
"568","analyser",33,568,31,"all"
"569","pourquoi",33,568,32,"all"
"570","entreprise",33,568,19,"all"
"571","vue",33,568,33,"all"
"572","porte",33,568,33,"all"
"573","progressivement",33,568,33,"all"
"574","négociation",33,568,31,"all"
"575","forte",33,568,32,"all"
"576","responsabilités",33,568,26,"all"
"577","l'aide",33,568,28,"all"
"578","divers",33,568,30,"all"
"579","qu'elles",33,568,27,"all"
"580","lumière",33,568,30,"all"
"581","propres",33,568,31,"all"
"582","transfert",33,568,26,"all"
"583","cause",33,568,31,"all"
"584","solutions",33,568,29,"all"
"585","personnels",33,568,23,"all"
"586","là",33,568,32,"all"
"587","texte",33,568,29,"all"
"588","comptabilité",33,568,22,"all"
"589","droits",33,568,22,"all"
"590","fortement",33,568,30,"all"
"591","institutionnels",33,568,29,"all"
"592","collectivité",33,568,27,"all"
"593","parce",32,593,24,"all"
"594","etats-unis",32,593,26,"all"
"595","réglementation",32,593,17,"all"
"596","définir",32,593,30,"all"
"597","évaluer",32,593,27,"all"
"598","spécifiques",32,593,30,"all"
"599","véritable",32,593,28,"all"
"600","québec",32,593,19,"all"
"601","voie",32,593,28,"all"
"602","prises",32,593,28,"all"
"603","unique",32,593,27,"all"
"604","l'université",32,593,19,"all"
"605","l'importance",32,593,31,"all"
"606","usages",32,593,23,"all"
"607","européennes",32,593,28,"all"
"608","moyen",31,608,30,"all"
"609","conclusion",31,608,28,"all"
"610","mal",31,608,29,"all"
"611","examine",31,608,31,"all"
"612","efficacité",31,608,28,"all"
"613","pourrait",31,608,31,"all"
"614","légitimation",31,608,28,"all"
"615","situations",31,608,25,"all"
"616","transports",31,608,16,"all"
"617","utilisés",31,608,28,"all"
"618","améliorer",31,608,30,"all"
"619","régional",31,608,22,"all"
"620","perception",31,608,24,"all"
"621","dirigeants",31,608,25,"all"
"622","fiscale",31,608,17,"all"
"623","financières",31,608,26,"all"
"624","tel",31,608,28,"all"
"625","ailleurs",31,608,30,"all"
"626","phénomène",31,608,26,"all"
"627","s'appuie",31,608,31,"all"
"628","l'emploi",30,628,22,"all"
"629","qu'un",30,628,28,"all"
"630","enquête",30,628,29,"all"
"631","l'auteur",30,628,28,"all"
"632","qu'à",30,628,30,"all"
"633","complexité",30,628,25,"all"
"634","mission",30,628,23,"all"
"635","meilleure",30,628,28,"all"
"636","aspects",30,628,27,"all"
"637","d'innovation",30,628,22,"all"
"638","professionnels",30,628,25,"all"
"639","suivi",30,628,24,"all"
"640","réalisation",30,628,27,"all"
"641","fondée",30,628,28,"all"
"642","innovation",30,628,22,"all"
"643","semblent",30,628,28,"all"
"644","solidarité",30,628,16,"all"
"645","contrainte",30,628,23,"all"
"646","sociétés",30,628,18,"all"
"647","spécificités",30,628,27,"all"
"648","partenaires",30,628,27,"all"
"649","chercheurs",30,628,21,"all"
"650","hôpitaux",30,628,19,"all"
"651","vision",30,628,29,"all"
"652","complexe",30,628,25,"all"
"653","sphère",30,628,23,"all"
"654","urbains",30,628,19,"all"
"655","proximité",30,628,18,"all"
"656","responsabilisation",30,628,17,"all"
"657","urbaine",30,628,22,"all"
"658","lolf",30,628,18,"all"
"659","suite",29,659,28,"all"
"660","financier",29,659,27,"all"
"661","néanmoins",29,659,28,"all"
"662","croissance",29,659,21,"all"
"663","plupart",29,659,27,"all"
"664","voire",29,659,29,"all"
"665","importante",29,659,29,"all"
"666","gérer",29,659,25,"all"
"667","susceptibles",29,659,29,"all"
"668","autonomie",29,659,26,"all"
"669","faveur",29,659,26,"all"
"670","but",29,659,26,"all"
"671","parmi",29,659,26,"all"
"672","régionale",29,659,21,"all"
"673","point",29,659,26,"all"
"674","simple",29,659,29,"all"
"675","portant",29,659,28,"all"
"676","tendance",29,659,26,"all"
"677","d'élaboration",29,659,26,"all"
"678","conflits",29,659,23,"all"
"679","citoyens",29,659,24,"all"
"680","l'existence",29,659,29,"all"
"681","science",29,659,21,"all"
"682","faut",29,659,27,"all"
"683","institutionnelles",29,659,23,"all"
"684","grande-bretagne",29,659,20,"all"
"685","communautaires",29,659,19,"all"
"686","cohérence",29,659,21,"all"
"687","car",29,659,28,"all"
"688","comptes",29,659,19,"all"
"689","littérature",29,659,25,"all"
"690","privée",29,659,19,"all"
"691","représentation",29,659,24,"all"
"692","1990",29,659,28,"all"
"693","l'eau",29,659,14,"all"
"694","empirique",28,694,26,"all"
"695","produits",28,694,24,"all"
"696","1",28,694,27,"all"
"697","2",28,694,26,"all"
"698","gestionnaire",28,694,21,"all"
"699","spécificité",28,694,22,"all"
"700","biens",28,694,15,"all"
"701","principalement",28,694,27,"all"
"702","référence",28,694,22,"all"
"703","exemple",28,694,28,"all"
"704","concernant",28,694,27,"all"
"705","oeuvre",28,694,22,"all"
"706","favoriser",28,694,27,"all"
"707","décideurs",28,694,23,"all"
"708","avantages",28,694,22,"all"
"709","industrielle",28,694,20,"all"
"710","celle-ci",28,694,27,"all"
"711","l'approche",28,694,20,"all"
"712","compromis",28,694,23,"all"
"713","troisième",28,694,27,"all"
"714","actuellement",28,694,26,"all"
"715","réussite",28,694,22,"all"
"716","outre",28,694,27,"all"
"717","enjeu",28,694,27,"all"
"718","celles",28,694,28,"all"
"719","territoriaux",28,694,20,"all"
"720","canada",28,694,17,"all"
"721","représentations",28,694,22,"all"
"722","l'europe",28,694,19,"all"
"723","gouvernements",27,723,25,"all"
"724","promotion",27,723,19,"all"
"725","lequel",27,723,26,"all"
"726","protection",27,723,20,"all"
"727","d'efficacité",27,723,26,"all"
"728","possibles",27,723,23,"all"
"729","international",27,723,21,"all"
"730","grand",27,723,26,"all"
"731","juridiques",27,723,22,"all"
"732","centres",27,723,15,"all"
"733","seconde",27,723,27,"all"
"734","vingt",27,723,24,"all"
"735","s'interroger",27,723,26,"all"
"736","d'information",27,723,21,"all"
"737","contre",27,723,23,"all"
"738","régionaux",27,723,21,"all"
"739","récentes",27,723,27,"all"
"740","assez",27,723,23,"all"
"741","quand",27,723,21,"all"
"742","libéralisation",27,723,15,"all"
"743","fondé",27,723,25,"all"
"744","critique",27,723,26,"all"
"745","cœur",27,723,25,"all"
"746","mutations",27,723,23,"all"
"747","tels",26,747,25,"all"
"748","présent",26,747,24,"all"
"749","conséquence",26,747,24,"all"
"750","commune",26,747,23,"all"
"751","pu",26,747,25,"all"
"752","etat",26,747,22,"all"
"753","certaine",26,747,21,"all"
"754","collective",26,747,23,"all"
"755","administratifs",26,747,21,"all"
"756","pression",26,747,25,"all"
"757","l'origine",26,747,26,"all"
"758","d'analyser",26,747,26,"all"
"759","personnes",26,747,25,"all"
"760","lors",26,747,24,"all"
"761","devant",26,747,16,"all"
"762","complexes",26,747,22,"all"
"763","distribution",26,747,18,"all"
"764","l'usage",26,747,24,"all"
"765","autre",26,747,26,"all"
"766","évaluations",26,747,15,"all"
"767","universitaires",26,747,19,"all"
"768","l'absence",26,747,26,"all"
"769","espace",26,747,20,"all"
"770","corps",26,747,21,"all"
"771","l'espace",26,747,19,"all"
"772","retour",26,747,23,"all"
"773","parties_prenantes",26,747,19,"all"
"774","managériales",25,774,19,"all"
"775","penser",25,774,24,"all"
"776","construire",25,774,23,"all"
"777","municipales",25,774,17,"all"
"778","principales",25,774,25,"all"
"779","grâce",25,774,23,"all"
"780","pendant",25,774,23,"all"
"781","impact",25,774,22,"all"
"782","expériences",25,774,24,"all"
"783","déjà",25,774,25,"all"
"784","besoin",25,774,22,"all"
"785","lien",25,774,25,"all"
"786","l'hypothèse",25,774,24,"all"
"787","centrale",25,774,25,"all"
"788","s'intéresse",25,774,25,"all"
"789","existe",25,774,25,"all"
"790","approches",25,774,21,"all"
"791","connaissance",25,774,24,"all"
"792","and",25,774,10,"all"
"793","relativement",25,774,24,"all"
"794","révèle",25,774,23,"all"
"795","royaume-uni",25,774,17,"all"
"796","jour",24,796,22,"all"
"797","concertation",24,796,15,"all"
"798","souci",24,796,21,"all"
"799","économie",24,796,19,"all"
"800","l'enjeu",24,796,21,"all"
"801","répartition",24,796,22,"all"
"802","déterminants",24,796,19,"all"
"803","passe",24,796,21,"all"
"804","trouver",24,796,24,"all"
"805","c'est-à-dire",24,796,24,"all"
"806","nécessaires",24,796,24,"all"
"807","finalement",24,796,23,"all"
"808","permettre",24,796,21,"all"
"809","telles",24,796,23,"all"
"810","redistribution",24,796,18,"all"
"811","mettent",24,796,24,"all"
"812","réalisée",24,796,23,"all"
"813","mutation",24,796,23,"all"
"814","d'etat",24,796,20,"all"
"815","comportement",24,796,21,"all"
"816","consiste",24,796,24,"all"
"817","fonds",24,796,19,"all"
"818","position",24,796,24,"all"
"819","enseignements",24,796,21,"all"
"820","portée",24,796,23,"all"
"821","s'interroge",24,796,23,"all"
